sec,nsec,x,y,z,roll,pitch,yaw
55,353731629,1963.945,111.929,1398.159,18.161,354.998,116.614
55,489078845,1964.218,111.935,1398.063,18.754,355.390,115.192
55,599113596,1964.425,111.940,1397.999,19.212,356.209,114.325
55,774545697,1964.779,111.946,1397.891,19.037,356.028,111.690
55,891228121,1965.004,111.956,1397.833,18.569,355.737,110.087
55,996892086,1965.204,111.963,1397.783,18.060,355.577,108.615
56,109163277,1965.413,111.974,1397.737,17.269,354.825,107.178
56,210088808,1965.614,111.976,1397.699,17.539,354.586,106.431
56,357905482,1965.901,111.976,1397.646,17.293,355.427,105.423
56,485888909,1966.180,111.974,1397.593,16.784,356.296,104.067
56,612540735,1966.435,111.981,1397.551,16.539,357.770,103.106
56,757700909,1966.750,111.984,1397.493,15.412,0.291,101.904
56,861079566,1966.956,111.985,1397.457,13.854,1.775,100.828
56,963839588,1967.180,111.977,1397.427,13.520,2.439,100.035
57,90424130,1967.463,111.973,1397.399,13.763,3.602,99.293
57,208619119,1967.711,111.965,1397.376,12.994,4.451,98.275
57,309692343,1967.910,111.960,1397.355,11.568,4.490,97.494
57,446227193,1968.177,111.966,1397.340,10.519,3.637,96.010
57,560463977,1968.406,111.970,1397.333,10.165,2.240,95.035
57,677966993,1968.639,111.966,1397.333,10.234,359.759,94.123
57,822561522,1968.944,111.956,1397.326,9.415,355.193,92.359
57,938658720,1969.169,111.963,1397.318,8.814,352.424,91.733
58,72219418,1969.422,111.984,1397.309,8.151,349.837,91.856
58,191186686,1969.647,112.008,1397.297,7.365,347.354,91.779
58,314479615,1969.883,112.049,1397.276,6.010,346.251,91.637
58,422546127,1970.098,112.109,1397.264,5.344,346.308,91.800
58,540566244,1970.328,112.168,1397.254,5.241,345.637,92.068
58,675512007,1970.586,112.236,1397.247,5.778,344.291,92.462
58,803428611,1970.839,112.284,1397.241,5.998,345.049,93.002
58,971377867,1971.174,112.325,1397.212,4.806,348.743,93.641
59,109185822,1971.451,112.361,1397.187,2.919,352.060,93.891
59,223605802,1971.685,112.393,1397.167,0.869,355.863,93.927
59,358841220,1971.969,112.404,1397.122,357.543,1.547,93.490
